Fundamental Frequency,RMS Energy,Spectral Centroid,Spectral Bandwidth,Spectral Flatness,Zero-Crossing Rate,Formant 1,Harmonics-to-Noise Ratio,Entropy of the Audio Signal,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,Chroma1,Chroma2,Chroma3,Chroma4,Chroma5,Chroma6,Chroma7,Chroma8,Chroma9,Chroma10,Chroma11,Chroma12,Screaming
89.22873212,0.058922127,3465.952194,3885.768335,0.009692985,0.088542611,734.9295654,-104.3926504,5.272204876,-300.3062744,125.9123917,2.872843981,27.98021507,1.064255953,20.52267647,-11.72652435,6.141308784,-10.72076702,-2.773616552,0.897185862,-1.542047739,-9.289345741,0.436610579,0.445955366,0.500452399,0.525795579,0.487814128,0.508269966,0.57283026,0.574908853,0.498021454,0.435949773,0.40785417,0.418545902,0
407.9113483,0.026463434,3716.962105,3768.28172,0.016640302,0.105762172,1807.211251,-96.3928052,5.443187237,-350.4588928,105.7052994,-25.95898628,28.34143448,15.97978115,13.11317348,-17.58351517,-9.263827324,-11.66400433,-4.068471909,-14.21022129,-5.3231287,-7.226381779,0.414949894,0.351249903,0.341739446,0.339921713,0.303186148,0.351335436,0.452567756,0.568738878,0.60034138,0.495215714,0.447581112,0.451148123,0
254.1548968,0.093920901,3494.649828,2946.329745,0.331792504,0.108153164,1231.322575,-91.15315594,5.015379324,-324.9621582,33.34736252,-32.00618744,-0.098594859,-11.28194332,-13.07526684,-2.237153053,-3.107358694,-8.81913662,1.891189098,-10.06415749,9.662164688,-17.53948593,0.303154975,0.244530722,0.274467975,0.110013716,0.099257164,0.115536548,0.145569131,0.135184214,0.162005827,0.264815569,0.267894328,0.352983832,0
146.772249,0.040824801,1737.616797,1466.812262,6.33E-05,0.05953236,606.3426452,-134.2161455,4.829108715,-330.1803284,150.0612183,-37.40458298,-19.02232742,8.227786064,-25.82555962,-11.51905537,2.40876317,-15.51664448,-4.764545441,4.783649445,-7.529833794,-3.396021605,0.386918426,0.397587091,0.363917172,0.345342129,0.347188205,0.369522601,0.414585412,0.493259013,0.503163159,0.474346995,0.46413672,0.422051638,0
342.6618066,0.031923193,4715.953646,4123.261817,0.018460514,0.131730578,340.1775558,-167.9728772,5.509832382,-401.0295105,51.64426804,-14.59901142,44.67114258,13.69724274,13.90341759,-14.6011095,-1.426269293,-7.073076725,3.049043894,-6.329674244,2.749332428,7.230972767,0.275981814,0.381277651,0.399752706,0.354068786,0.35128805,0.441052258,0.567767978,0.389197618,0.354853719,0.345709592,0.286650658,0.249401271,0
104.1605395,0.040142681,4138.164961,4319.312532,0.020856149,0.110143675,512.4746776,-141.2654414,5.823453903,-257.23349,108.9956207,-17.21085548,13.56572437,-10.28819847,8.674956322,-11.55283833,2.350321054,-12.16510677,-2.035356522,-7.640501499,-3.716129303,-11.00034142,0.591190457,0.5565117,0.56329298,0.513590574,0.450722069,0.514062166,0.555620372,0.472715288,0.428506762,0.470980406,0.634064078,0.677276015,0
295.1750526,0.071982056,3132.110692,2558.769447,0.000783946,0.075150483,846.0452111,-70.83556873,5.307859421,-260.9380798,100.9576111,-88.51078033,-1.659684896,-52.45954132,-19.14075089,9.715480804,6.683813095,-15.69263935,-21.73828316,3.460263252,-4.214622021,4.276126862,0.237372085,0.219813302,0.267323375,0.389897585,0.464531571,0.426203638,0.520661473,0.523985386,0.280447125,0.224908456,0.156842902,0.183478028,1
136.4313712,0.064143658,2388.365297,2386.08366,0.000462447,0.060116039,854.1377648,-19.46319463,5.047114372,-288.9905701,142.009613,-74.94805908,18.8806591,-47.84573746,-34.7150116,-16.89680862,4.103097439,-14.01644039,-15.13426113,-7.669056416,-6.693131924,-1.879405499,0.185357615,0.226663545,0.321078926,0.393172681,0.618553042,0.436201215,0.312354088,0.200199604,0.176580384,0.22881259,0.236447945,0.177311003,1
504.1117701,0.1193901,3658.013755,1793.986322,0.227613047,0.146700661,1357.958767,-78.98740081,5.053676989,-316.0763855,111.7177505,-67.09799957,0.915221632,-8.628867149,-19.37299156,10.95893002,10.51613331,-1.520867825,-5.354792118,2.468125343,9.018220901,13.86672688,0.129133239,0.196919814,0.21870935,0.283748597,0.37426129,0.481933177,0.3803626,0.218471855,0.117875248,0.070559479,0.068849407,0.080900632,1
130.7679327,0.160961047,2542.567213,2979.524016,0.009466136,0.051283482,847.4939268,-48.91099436,4.826527596,-255.120697,134.8959045,-54.3930397,-14.54287338,-36.20953369,-22.90917587,-23.32404518,-6.894591331,2.814856768,2.1663692,-16.3855114,-4.203435898,6.424329281,0.236637339,0.195766434,0.263750702,0.393792719,0.503855169,0.375806868,0.310471117,0.304703951,0.361274391,0.363506258,0.50714159,0.453858674,1
498.3209332,0.107131623,3800.812226,3513.49628,0.011668852,0.09479428,1383.975343,-58.25353167,5.197987556,-286.0393982,53.93725586,-93.93614197,-22.28855705,-17.76664162,1.361794353,2.249638796,7.280626774,-7.482559204,-7.902210236,-10.99342442,-2.133646488,-5.617336273,0.168085992,0.110342883,0.14305003,0.467170894,0.259819567,0.159034789,0.320533216,0.20688203,0.08713825,0.11365284,0.269424736,0.496715397,1
136.5980824,0.182778463,2287.432724,2263.526602,0.000396703,0.053636222,858.8548017,-2.302296988,5.04865551,-149.6892853,138.7707062,-90.04229736,-16.93677711,-47.45672989,-33.63753128,-18.77419853,0.630280614,-7.18549633,-13.4516573,-1.21200645,-4.42982769,8.809973717,0.126328677,0.129476503,0.155917645,0.312507182,0.36849767,0.340830982,0.315691978,0.351405561,0.440022349,0.474135995,0.470302165,0.196182996,1
239.1698252,0.095272899,4134.013208,4121.010346,0.02212815,0.04465339,1090.76027,-79.12757944,5.053676989,-358.4145813,69.18347931,-74.78981018,-29.33415222,-22.48000145,-7.863900185,-2.373489857,4.811784267,-7.361166,-3.87573719,-6.301558971,-1.790093541,-10.37541008,0.774698436,0.563442886,0.355520844,0.316043764,0.292392135,0.291525841,0.365351319,0.577006817,0.398028463,0.368148923,0.37295416,0.473357856,1
